log2(FC),log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
-4.519528054772523,4.8936,TRUE,DOWN,PE 19:0_20:4.1,sig,0.0436,78270.841
-4.132894270497346,1.9434,FALSE,NO,NA,not,0.057,87.7809
-0.526784565929603,0.4601,FALSE,NO,NA,not,0.6941,2.8847
-0.8719706112593589,0.2853,FALSE,NO,NA,not,0.5464,1.9289
-3.0954195650786827,2.1121,FALSE,NO,NA,not,0.117,129.4494
-5.772012541265407,2.1203,FALSE,NO,NA,not,0.0183,131.9168
-1.1844245711374275,1.937,FALSE,NO,NA,not,0.44,86.4968
-4.684086034563258,2.6973,TRUE,DOWN,PE 20:0_22:6,sig,0.0389,498.081
-0.1666645908625292,0.1143,FALSE,NO,NA,not,0.8909,1.3011
-0.45264888754435423,1.1374,FALSE,NO,NA,not,0.7307,13.7214
-3.306145097646435,1.8998,FALSE,NO,NA,not,0.1011,79.3963
-0.8927138650477776,1.3342,FALSE,NO,NA,not,0.5386,21.5874
-0.42275246440684927,0.7669,FALSE,NO,NA,not,0.746,5.8466
-0.01435385028275053,0.0269,FALSE,NO,NA,not,0.9901,1.0639
-1.356975041986563,3.3302,TRUE,DOWN,NA,sig,0.3904,2138.9469
-1.9994230373684796,3.4049,TRUE,DOWN,NA,sig,0.2501,2540.3877
-1.7734914701913203,3.2325,TRUE,DOWN,NA,sig,0.2925,1708.0477
-0.41946856184481296,0.7137,FALSE,NO,NA,not,0.7477,5.1725
0.8771160010507657,3.2134,TRUE,UP,NA,sig,1.8367,1634.5567
-2.5088139035410735,1.7904,FALSE,NO,NA,not,0.1757,61.7163
-0.8543877528335241,1.6044,FALSE,NO,NA,not,0.5531,40.2161
-0.1582683565175027,0.1691,FALSE,NO,NA,not,0.8961,1.476
-0.7020456098170466,2.1259,FALSE,NO,NA,not,0.6147,133.6288
0.11049688191740205,0.1376,FALSE,NO,NA,not,1.0796,1.3728
-1.3707133304666423,1.2358,FALSE,NO,NA,not,0.3867,17.2108
-0.18836456914625643,0.2311,FALSE,NO,NA,not,0.8776,1.7026
0.15328652099086262,0.0976,FALSE,NO,NA,not,1.1121,1.252
0.3478923881953377,0.4674,FALSE,NO,NA,not,1.2727,2.9336
-0.10500766903048524,0.1287,FALSE,NO,NA,not,0.9298,1.3449
-0.06642736173897607,0.045,FALSE,NO,NA,not,0.955,1.1092
0.1728715003522772,0.2312,FALSE,NO,NA,not,1.1273,1.7029
-0.3316993014613506,0.5452,FALSE,NO,NA,not,0.7946,3.5091
0.5302705476462036,0.9478,FALSE,NO,NA,not,1.4442,8.8675
-0.24742265852373244,0.3054,FALSE,NO,NA,not,0.8424,2.0202
1.2258301803785936,2.2573,FALSE,NO,NA,not,2.3389,180.8423
0.7015934127574627,1.1147,FALSE,NO,NA,not,1.6263,13.0227
-0.013625473915035144,0.0208,FALSE,NO,NA,not,0.9906,1.0491
0.563841478880328,0.7877,FALSE,NO,NA,not,1.4782,6.1334
0.22317538614456242,0.2836,FALSE,NO,NA,not,1.1673,1.9213
0.37206058233216077,0.2373,FALSE,NO,NA,not,1.2942,1.727
0.07162539397376963,0.0561,FALSE,NO,NA,not,1.0509,1.1379
