Name,Condition,variable,value,FA
4,PPARa_HNF4a,17:1_16:0,0.4499854515474957,16:0
5,pLV_NT,17:1_16:0,0.3909500452746545,16:0
6,pLV_HNF4a,17:1_16:0,0.4235362707346059,16:0
7,PPARa_NT,17:1_16:0,0.3715607726302574,16:0
8,PPARa_HNF4a,17:1_16:0,0.4119431104065796,16:0
9,pLV_NT,17:1_16:0,0.3743553823382523,16:0
10,pLV_HNF4a,17:1_16:0,0.3801045503885152,16:0
11,PPARa_NT,17:1_16:0,0.3822536174074168,16:0
12,PPARa_HNF4a,17:1_16:0,0.3734486518609902,16:0
1,pLV_NT,18:1_14:0,0.6239316343035497,14:0
2,pLV_HNF4a,18:1_14:0,0.7057738144402379,14:0
3,PPARa_NT,18:1_14:0,0.5996030989625547,14:0
4,PPARa_HNF4a,18:1_14:0,0.6431758698699714,14:0
5,pLV_NT,18:1_14:0,0.6149334101622272,14:0
6,pLV_HNF4a,18:1_14:0,0.6629956158143311,14:0
7,PPARa_NT,18:1_14:0,0.5727969457363955,14:0
8,PPARa_HNF4a,18:1_14:0,0.5761758599713512,14:0
9,pLV_NT,18:1_14:0,0.6780130891654648,14:0
10,pLV_HNF4a,18:1_14:0,0.5758254582478297,14:0
11,PPARa_NT,18:1_14:0,0.5477586952252659,14:0
12,PPARa_HNF4a,18:1_14:0,0.5221980977152868,14:0
1,pLV_NT,18:1_16:0,5.156904064305106,16:0
2,pLV_HNF4a,18:1_16:0,5.280845952377473,16:0
3,PPARa_NT,18:1_16:0,5.194600243119529,16:0
4,PPARa_HNF4a,18:1_16:0,5.313455730093632,16:0
5,pLV_NT,18:1_16:0,5.065923009174822,16:0
6,pLV_HNF4a,18:1_16:0,4.668965801294216,16:0
7,PPARa_NT,18:1_16:0,5.234207369289041,16:0
8,PPARa_HNF4a,18:1_16:0,4.584748557536504,16:0
9,pLV_NT,18:1_16:0,5.2261424450243394,16:0
10,pLV_HNF4a,18:1_16:0,5.4703140204607745,16:0
11,PPARa_NT,18:1_16:0,4.483633349453353,16:0
12,PPARa_HNF4a,18:1_16:0,4.680717603257537,16:0
1,pLV_NT,18:1_16:0,0.19814986260038847,16:0
2,pLV_HNF4a,18:1_16:0,0.3510546636705575,16:0
3,PPARa_NT,18:1_16:0,0.2856959656137531,16:0
4,PPARa_HNF4a,18:1_16:0,0.29015045238072945,16:0
5,pLV_NT,18:1_16:0,0.26933326906123073,16:0
6,pLV_HNF4a,18:1_16:0,0.2979839238212252,16:0
7,PPARa_NT,18:1_16:0,0,16:0
8,PPARa_HNF4a,18:1_16:0,0.26657692525174054,16:0
9,pLV_NT,18:1_16:0,0.30111241497144575,16:0
10,pLV_HNF4a,18:1_16:0,0.30170856672283414,16:0
11,PPARa_NT,18:1_16:0,0.25736651884685663,16:0
12,PPARa_HNF4a,18:1_16:0,0.23861813962517003,16:0
1,pLV_NT,18:1_17:0,0.38077936776195154,17:0
2,pLV_HNF4a,18:1_17:0,0.44481112617606383,17:0
3,PPARa_NT,18:1_17:0,0.3996481413543951,17:0
4,PPARa_HNF4a,18:1_17:0,0.4002650298685159,17:0
5,pLV_NT,18:1_17:0,0.4081115027876735,17:0
6,pLV_HNF4a,18:1_17:0,0.349449812912987,17:0
7,PPARa_NT,18:1_17:0,0.376883416365386,17:0
8,PPARa_HNF4a,18:1_17:0,0.4320581974612871,17:0
9,pLV_NT,18:1_17:0,0.4012345420219964,17:0
10,pLV_HNF4a,18:1_17:0,0.41710374362623553,17:0
11,PPARa_NT,18:1_17:0,0.3796914443188309,17:0
12,PPARa_HNF4a,18:1_17:0,0.3435595733539461,17:0
1,pLV_NT,18:1_18:0,0.3242196036339243,18:0
2,pLV_HNF4a,18:1_18:0,0.5438002842335926,18:0
3,PPARa_NT,18:1_18:0,0.5376231030393004,18:0
4,PPARa_HNF4a,18:1_18:0,0.6917496990154737,18:0
5,pLV_NT,18:1_18:0,0.4907762866195737,18:0
6,pLV_HNF4a,18:1_18:0,0.33516862436003575,18:0
7,PPARa_NT,18:1_18:0,0.5151441173751387,18:0
8,PPARa_HNF4a,18:1_18:0,0.639954558408605,18:0
9,pLV_NT,18:1_18:0,0.6219727839962546,18:0
10,pLV_HNF4a,18:1_18:0,0.5594597168056686,18:0
11,PPARa_NT,18:1_18:0,0.4891301463158582,18:0
12,PPARa_HNF4a,18:1_18:0,0.6831815536447706,18:0
1,pLV_NT,18:1_20:0,0.3324109033933044,20:0
2,pLV_HNF4a,18:1_20:0,0.32593132417002074,20:0
3,PPARa_NT,18:1_20:0,0.31382658754513265,20:0
4,PPARa_HNF4a,18:1_20:0,0.3413718679217161,20:0
5,pLV_NT,18:1_20:0,0.32819405754886644,20:0
6,pLV_HNF4a,18:1_20:0,0.2872469718434589,20:0
7,PPARa_NT,18:1_20:0,0.2885019231415304,20:0
8,PPARa_HNF4a,18:1_20:0,0.345476620164602,20:0
9,pLV_NT,18:1_20:0,0.35888615166311794,20:0
10,pLV_HNF4a,18:1_20:0,0.39235102357652696,20:0
11,PPARa_NT,18:1_20:0,0.3450079100828991,20:0
12,PPARa_HNF4a,18:1_20:0,0.3200988444522773,20:0
1,pLV_NT,18:1_24:1,10.75700055769667,24:1
2,pLV_HNF4a,18:1_24:1,12.177634702705712,24:1
3,PPARa_NT,18:1_24:1,10.708524324884598,24:1
4,PPARa_HNF4a,18:1_24:1,11.146839056276889,24:1
5,pLV_NT,18:1_24:1,11.021118122681068,24:1
6,pLV_HNF4a,18:1_24:1,10.687466691466536,24:1
7,PPARa_NT,18:1_24:1,11.083719670707737,24:1
8,PPARa_HNF4a,18:1_24:1,9.693235023963814,24:1
9,pLV_NT,18:1_24:1,10.387445774240136,24:1
10,pLV_HNF4a,18:1_24:1,11.026965676897031,24:1
11,PPARa_NT,18:1_24:1,9.666551557010624,24:1
