log2(FC),log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
-1.5328248773859807,2.6079,TRUE,DOWN,NA,sig,0.3456,405.4152
1.3853758133599134,1.5678,FALSE,NO,NA,not,2.6124,36.9658
1.267715561951702,1.5915,FALSE,NO,NA,not,2.4078,39.0391
1.1547128137821578,2.0073,TRUE,UP,NA,sig,2.2264,101.6951
1.006549373883862,3.4853,TRUE,UP,NA,sig,2.0091,3057.0321
1.0104934192484527,1.9321,TRUE,UP,NA,sig,2.0146,85.5264
0.811881996218668,2.5658,TRUE,UP,NA,sig,1.7555,367.9595
0.37862259552722705,1.2224,FALSE,NO,NA,not,1.3001,16.6878
0.6171103747447603,1.5986,FALSE,NO,NA,not,1.5338,39.6826
-0.15200309344504995,0.3747,FALSE,NO,NA,not,0.9,2.3697
-0.37183300071367614,0.8777,FALSE,NO,NA,not,0.7728,7.5457
-0.7269019108215087,2.4496000000000002,TRUE,DOWN,NA,sig,0.6042,281.5788
-1.2249916123844051,3.5565,TRUE,DOWN,NA,sig,0.4278,3601.6375
-1.7326439882161124,3.8014,TRUE,DOWN,NA,sig,0.3009,6329.9459
-1.2736919092345147,3.5326,TRUE,DOWN,NA,sig,0.4136,3408.7881
-2.224991612384405,4.0051,TRUE,DOWN,NA,sig,0.2139,10118.124100000001
-2.0320936297098533,3.9194,TRUE,DOWN,NA,sig,0.2445,8306.1544
1.0621217119077975,2.2195,TRUE,UP,NA,sig,2.088,165.7677
0.8498391734649472,1.9525,TRUE,UP,NA,sig,1.8023,89.6396
0.2076430126865326,0.5591,FALSE,NO,NA,not,1.1548,3.6233
0.3692710400250943,1.108,FALSE,NO,NA,not,1.2917,12.8233
-0.8298185422347496,2.3591,TRUE,DOWN,NA,sig,0.5626,228.6125
-2.023856359953367,3.7777,TRUE,DOWN,NA,sig,0.2459,5993.769
1.745710621988001,4.3579,TRUE,UP,NA,sig,3.3536,22798.1706
-0.9342898359347342,1.1536,FALSE,NO,NA,not,0.5233,14.243
